Arm circles,mobility,30
Wrist circles,mobility,30
Jumping jacks,mobility,60
Hip circles,mobility,30
Torso twists,mobility,30
Push up,military,60
Leg Swings,mobility,60
Push up,diamond,60
Forward battlement,mobility,60
Push up,archer,60
Side battlement,mobility,60
Push up,archer,60
Back battlement,mobility,60
Dips,regular,999
90 90,mobility,60
Pass through,mobility,60
Leg raise,regular,60
Right twist,mobility,60
Leg raise,regular,60
Left twist,mobility,60
Seated leg lift,regular,60
Shoulder circles,mobility,30
infinity hip,mobility,30
Seated leg lift,regular,60
Neck circles,mobility,30
Torso circles,mobility,30